StationID,StationName,WBIC,County,Region,Latitude,Longitude
10016291,Hibbard Creek DS of Honold Rd,98200,Door,NE,45.02522,-87.20291
10020362,Prairie River -- Walk-In,1481200,Lincoln,NO,45.365356,-89.46323
10031938,Three Springs Creek at Wilson Preserve,99400,Door,NE,45.176617,-87.08006
10031947,Hidden Brook N of Ridges Rd,NA,Door,NE,45.069305,-87.1228
10032283,Reiboldt's Creek N of CTH Q,99000,Door,NE,45.0966,-87.082
10033718,Reiboldts Creek North at Old Homestead Rd,99000,Door,NE,45.130413,-87.10629
10041414,Heins Creek E of Hwy 57,98400,Door,NE,45.016254,-87.14869
10048646,Sawmill Creek at CTH H N of Hay Hollow Road,906000,Green,SC,42.80859,-89.79791
10051141,Fish Creek - Dam at the Boardwalk,99800,Door,NE,45.119514,-87.23691
10055104,Wagon Trail Creek,NA,Door,NE,45.21561,-87.03768
133472,Unnamed (Pine Springs) Creek at River Rd,807500,Dane,SC,43.20846,-89.36212
10012028,Yahara River - Upstream Of Windsor Rd.,798300,Dane,SC,43.216328,-89.34947
10033681,Yahara River at Veteran's Park,798300,Dane,SC,43.249523,-89.34375
10033682,Yahara River at South St. Bridge,798300,Dane,SC,43.2421,-89.356636
10033683,Unnamed Trib at River Rd N of South St,5033600,Dane,SC,43.24198,-89.36291
10033684,Yahara River at River Rd,798300,Dane,SC,43.228863,-89.36261
10033685,Yahara River at Innovation Dr,798300,Dane,SC,43.225956,-89.34734
10033686,Yahara River at Golf Course,798300,Dane,SC,43.20257,-89.35054
10033687,Unnamed (Pine Springs) Creek at Hickory Ln,807500,Dane,SC,43.215137,-89.38206
10033880,Unnamed Trib to Yahara River at Innovation Dr,5033743,Dane,SC,43.226254,-89.34686
10052568,Little Bear Creek 18ft US Farm Road,1234700,Sauk,SC,43.248573,-90.189156
10048647,Little Bear Creek 350ft DS CTH B,1234700,Richland,SC,43.25219,-90.20517
10029414,Deerskin River at FR2178,1600400,Vilas,NO,46.00295,-89.07436
10029803,Deerskin River at the end Myzska Road on the southeast of river,1600400,Vilas,NO,46.04284,-89.05396
233058,Dougherty Creek - S of Meadow Brook Road Bridge,901000,Green,SC,42.754288,-89.770004
10022508,Blue River Station 3 At 400m Downstream Of Bluff Rd (Sesw1206n01w),1211000,Grant,SC,43.004494,-90.43911
10030883,Evergreen River CTH M FIELDS-UPPER PARKING TO RR CROSSING,357400,Langlade,NO,45.12759,-88.79512
10032123,Boydtown Creek 400 ft west of Hilldale Rd,1205100,Crawford,WC,43.119755,-90.80816
10029802,Deerskin River at bend east of Rangeline Rd,1600400,Vilas,NO,45.954674,-89.17443
10041573,Unnamed Trib to Brandy Brook at Retzer,5036048,Waukesha,SE,43.015285,-88.313156
683424,Bark River at Genessee Lake Road,813500,Waukesha,SE,43.046944,-88.459854
10029415,DEERSKIN RIVER - OLD HATCHERY ACCESS OFF OF BLACKJACK RD.,1600400,Vilas,NO,45.99612,-89.09541
10040703,Little Pine Creek-115M Downstream Grundy Rd.,1503200,Lincoln,NO,45.418953,-89.58001
10010191,Fish Creek - Fish Creek at Hwy 42 (In Park/Bridge),99800,Door,NE,45.124496,-87.238716
10052454,Scuppernong Creek at UW Field Station,825600,Waukesha,SE,43.01769,-88.44149
10016773,Apple Br. - Apple Grove Ch Rd.,899800,Lafayette,SC,42.697376,-89.93623
10037476,Allen Creek at confluence with unnamed trib (WBIC-5037840) north of Star School Road,813300,Jefferson,SC,42.884193,-88.83708
273126,Allen Creek at Hagen Rd,1709800,Jackson,WC,44.32794,-90.84579
10043571,Auburn Lake Creek at DD,41600,Fond du Lac,NE,43.594604,-88.21291
10011966,Badger Mill Creek - Sth. 69 Upstream To Fenceline In Pasture,888100,Dane,SC,42.96457,-89.54841
10013371,Badger Mill Creek at Riverside Road,888100,Dane,SC,42.959484,-89.55803
283287,Bark R at Cth D (Princes Point) Near Hebron WI,813500,Jefferson,SC,42.894386,-88.70136
10016104,Bark River at Hagedorn and Cushman Rds,813500,Jefferson,SC,42.960373,-88.67093
10052452,Bark River at North Road,813500,Waukesha,SE,43.19217,-88.221855
10039312,Bark River in Nixon Park in Hartland,813500,Waukesha,SE,43.100315,-88.34745
603121,Batavia Creek at Sth 28 At Batavia WI,31400,Sheboygan,SE,43.590572,-88.05042
10016999,Battle Creek - Adjacent To Cth B 10 Feet Gq=5,848300,Jefferson,SC,43.07633,-88.54627
10013605,Bear Creek Station 1-Sth 131 Crossing Upstream,1186600,Crawford,WC,43.355,-90.8125
10030615,BEARSKIN CREEK - STATION 8 - BEARSKIN RAPIDS TRESTLE TO TOP OF CEDARS RIFFLE,1522500,Oneida,NO,45.65645,-89.66337
10037441,Beaver Creek at HWY 57,20000,Milwaukee,SE,43.183517,-87.96418
10020361,Prairie River -- Access at Hackbarths Dr Off Sth 17,1481200,Lincoln,NO,45.373745,-89.46125
10051573,Sugar River - Basco (Neprud Prpty),875300,Dane,SC,42.91324,-89.51993
10044917,Richland Creek at Byers Road,1206000,Crawford,WC,43.24652,-90.76367
10055114,Pine River - Off Shellington Dr.,1220600,Richland,SC,43.480812,-90.3656
10055205,Sugar Creek - off C and Heath Rd,1636300,Crawford,WC,43.37117,-91.04195
10012445,Bird Creek At Antler Drive Just Outside Wautoma,152300,Waushara,NE,44.073097,-89.32144
10047244,Bird Creek US Hwy 21 Foot Bridge Crossing,152300,Waushara,NE,44.06957,-89.30376
10043148,Blackhawk Creek at Optimist Park Crossing,797000,Rock,SC,42.68257,-88.958855
10020630,Bluff Creek DS CTH P,816100,Walworth,SE,42.79818,-88.684814
10048152,Brennan Creek at Valley Rd,905700,Lafayette,SC,42.738155,-89.8683
10051224,Brewer Creek West of Brokup Road,1305000,Juneau,WC,43.80591,-90.122055
10040929,Brown Deer Park Creek at Brown Deer Park,19700,Milwaukee,SE,43.16203,-87.95245
10011397,Butler Creek DS of Campbell Ct,18100,Waukesha,SE,43.114048,-88.0794
10053216,Canyon Park Creek DS of Unnamed (1245400) Stream,1245200,Iowa,SC,42.99978,-90.04069
10020683,Carpenter Creek At Bridge On CTH NN,248800,Waushara,NE,44.155632,-89.06529
10053882,Caves Creek at Fishery Area N of Dyke Avenue,166100,Marquette,NE,43.91231,-89.46029
203102,Parsons Creek Upstream Hickory Rd,136000,Fond du Lac,NE,43.693287,-88.471725
703109,Willow Creek - Upstream Of Cth G,243700,Waushara,NE,44.165955,-89.227516
10010908,Sylvester Creek - Sylvester Creek At Ten Eyck Rd,877400,Green,SC,42.602573,-89.41692
10029782,East Branch Fond du Lac River Morris Court 200 yds east,135900,Fond du Lac,NE,43.758175,-88.45266
10031557,West Branch of Fond du Lac at Estabrook Park,134000,Fond du Lac,NE,43.76707,-88.50498
10040410,Searles Cr at CTH S,879500,Green,SC,42.657303,-89.50567
10040851,Searles Creek at Decatur-Sylvester Rd,879500,Green,SC,42.644096,-89.48579
10044733,Unnamed Tributary to Searles Creek at Decatur-Sylvester Rd,5040684,Green,SC,42.65069,-89.48569
10044757,West Branch Rock River at Neitman Road,861300,Fond du Lac,NE,43.68041,-88.65725
10054855,Cornfield Rd and Hwy 136,1275000,Sauk,SC,43.48305,-89.80812
10052841,Kentuck Creek near Boardwalk on USFS Property,716400,Vilas,NO,45.9944,-88.98218
10029546,Scuppernong Cr at the footbridge on the Lapham Peak Tr,825600,Waukesha,SE,43.01528,-88.394196
10040407,Unnamed Trib (879600) to Searles Cr at CTH S,879600,Green,SC,42.653088,-89.50558
10032119,Wisconsin River tributary 0.5 mi SE of STH 60 and Knob Ln intscn,5035112,Crawford,WC,43.101078,-90.82117
10040597,Saunders Creek at Chaucer St,808000,Rock,SC,42.833576,-89.06372
10052569,Unnamed (5035112) at Spring,5035112,Crawford,WC,43.09913,-90.81969
10052670,Unnamed (5034616) at Kickapoo Valley Road,5034616,Crawford,WC,43.163822,-90.87999
10052671,Unnamed (5034666) at Kickapoo Valley Road,5034666,Crawford,WC,43.13992,-90.88538
10042539,Mud Creek at Hwy CI,819900,Jefferson,SC,42.939342,-88.5921
10043859,Stony Brook on DNR land N of Swamp Rd,837600,Jefferson,SC,43.18425,-88.96146
10022103,Jockey Hollow Creek At Duncan Hill Road,899500,Green,SC,42.65724,-89.81792
10055136,Raccoon Creek - 300ft Downstream from The Cleophas Rd Bridge,NA,Rock,SC,42.554596,-89.13062
10031935,Peil Creek S of HWY EE at Northview Property,98700,Door,NE,45.0649,-87.16797
10031637,Pine River at STH 60,1220600,Richland,SC,43.222733,-90.30302
703070,Upper Pine River at 17th Drive,247800,Waushara,NE,44.19531,-89.27599
10007897,Humphrey Creek at CTH K,250500,Waushara,NE,44.214046,-89.185165
10012437,West Branch White River - County T (125 Yards West),151700,Waushara,NE,44.080322,-89.35333
10028918,Willow Creek At Cth S And Z,243700,Waushara,NE,44.07495,-89.14705
10039680,Unnamed Trib to Dakin Creek 1/4 mile E of Fond du Lac County Line,5026857,Fond du Lac,NE,43.82319,-88.88132
10054943,Sugar River - Off Rt 69 and Paoli Rd.,875300,Dane,SC,42.930603,-89.53216
203080,Silver Creek At Koro Rd,146800,Fond du Lac,NE,43.858337,-88.87125
203081,Silver Creek At Sth 23 East Of Ripon,146800,Fond du Lac,NE,43.831,-88.788734
243026,Spring Creek at Cth K (Bi),148000,Green Lake,NE,43.780636,-89.01467
243059,White Creek -At Spring Grove Rd Near Mouth Of Green Lake WI,146600,Green Lake,NE,43.816174,-88.928635
10009000,Cook Creek Station #3 Brg. On Cook Hill Rd,1189000,Vernon,WC,43.54291,-90.84515
10012583,Unnamed Creek (Wuerches Creek) North Side Of Cty B Near State Hwy 73,148300,Green Lake,NE,43.748753,-89.05437
10013685,Radley Creek-Dayton Rd.,259300,Waupaca,NE,44.289772,-89.1663
10016330,Unnamed Trib. To Silver Creek At Trail,147400,Fond du Lac,NE,43.861042,-88.86043
10020631,Scuppernong River - 1395 meters Upstream of CTHY ZZ,817600,Waukesha,SE,42.934044,-88.469505
10022008,Soules Creek - Swamp Road (Upstream),152800,Waushara,NE,44.088146,-89.27006
10029791,Pine River W4902 Portage Road Saxeville,247800,Waushara,NE,44.179024,-89.12962
10030582,Dakin Creek - Skunk Hollow Rd.,146700,Green Lake,NE,43.822773,-88.90571
10039464,Spring Creek at Lindsay Rd,773400,Waukesha,SE,43.10179,-88.2104
10039602,Pine River at CTH H US of Poy Sippi Millpond,247800,Waushara,NE,44.137432,-89.032814
10041510,Silver Creek at County KK,146800,Fond du Lac,NE,43.807636,-88.79139
10042932,Tomorrow River 75 ft downstream of Q bridge,257400,Portage,WC,44.493305,-89.30983
10048389,Mineral Point Branch at Barreltown Bird Conservation Area,927900,Iowa,SC,42.90897,-90.19403
10048578,North Branch Little Wolf River US Confluence Unnamed (273100),273000,Waupaca,NE,44.411175,-89.01192
10048779,Roy Creek 20 yards E of CTH O culvert,148200,Green Lake,NE,43.76612,-89.020966
10051096,Assemble Creek 350ft N of Green Lake,3000091,Green Lake,NE,43.81678,-89.035225
10052650,Unnamed Tributary to Silver Creek DS Brooklyn G Rd and 4th Inline Pond (WBIC 5026724),5026724,Green Lake,NE,43.840874,-88.895706
10051172,Hill Creek at Lakeview Road,146200,Green Lake,NE,43.804295,-88.96603
10053341,Maple Dale Creek US Maple Dale Road,1188800,Vernon,WC,43.56416,-90.844604
